id,movie,author,metascore,review
2703,strayed-movie,Desson Thomson,30,"A picture-book French film that's pretty and trite, rather than edgy and moving. "
2704,transformers-age-of-extinction-movie,Richard Corliss,30,"Nothing coheres. Movies usually try to come together at the end; this one falls apart. If that's Bay intention, then cinema has finally entered its Age of Extinction. "
2705,wonderland-movie,Scott Warren,38,"The filmmakers may have wanted to deconstruct any sense of a formal, cohesive narrative; instead, they have merely demolished it."
2706,the-secret-in-their-eyes-movie,Mick LaSalle,75,At times you may be moved as by no other foreign film this year - and then 10 minutes later be leaning forward in the seat just to stay awake.
2707,the-blair-witch-project-movie,Shawn Levy,91,It breaks so sharply from the practice of contemporary horror film that it requires us to return to the most basic understanding of what it is to be frightened by a movie.
2708,resident-evil-apocalypse-movie,Roger Ebert,12,"An utterly meaningless waste of time...It is a dead zone, a film without interest, wit, imagination or even entertaining violence and special effects."
2709,the-man-movie,Connie Ogle,0,"It's just awful. Pointless, lazy, derivative and paralyzingly dull."
2710,capote-movie,Joe Morgenstern,100,What Mr. Hoffman has done here borders on the miraculous.
2711,yours-mine-and-ours-movie,Robert K. Elder,38,"Even as slapstick, it's a major snoozefest."
2712,shaun-of-the-dead-movie,Jami Bernard,75,Its social satire is so dead-on. 
2713,the-darkness-movie,Roger Moore,38,"The scariest thing about The Darkness turns out to be the trailers to this summer’s more promising horror offerings, “Lights Out” and “Don’t Breathe.”"
2714,a-bronx-tale-movie,Desson Howe,70,"The story is riddled with absurd coincidences and improbabilities. It doesn't have an original bone in its body. And no one's going to leave this film thinking De Niro should stay behind the camera. But none of these problems stops the movie from being enjoyable. If Bronx Tale feels too familiar, it's at least the familiarity of good Italian movies."
2715,rachel-getting-married-movie,Lou Lumenick,88,"As Kym, Hathaway runs an astonishing gamut of emotions, from anger to fragility and from hurt to regret - without ever seeming actress-y, like Nicole Kidman. Start clearing that mantelpiece, Anne."
2716,blackkklansman-movie,James Berardinelli,75,"BlacKkKlansman comes across as equally entertaining and disturbing, which is most likely what Lee intended. "
2717,diamond-cartel-movie,Gary Goldstein,10,The largely Russian- and Kazakh-speaking cast is so incongruously dubbed into English it evokes an old Japanese monster movie.
2718,pokemon-the-movie-2000-movie,Sean Means,10,"Kids -- may like this movie. But kids like green ketchup, so what do they know?"
2719,barbershop-movie,Joe Morgenstern,80,"Why, in our drum-thumping, ritually trumpeting time, did so little fanfare precede the opening of a movie with so much to recommend it? This is grand entertainment."
2720,the-second-mother-movie,Lucy Popescu,100,"This brilliant, beautifully observed comedy is a joy to watch throughout. The Second Mother's narrative works on so many levels, reflected in the film's ambiguous title, and the characterisation is flawless."
2721,the-circle-movie,Peter Rainer,70,"In The Circle, which is banned in Iran, the enforced society of women is, in effect, a community of adults treated as children."
2722,a-prophet-movie,Shawn Levy,91,"Long and sometimes grueling, but it never feels indulgent or excessive.  In order to be subtle about the horrifying transformation he records, Audiard needs to let it unfold slowly, so that only when we reach the end can we see Malik as a new man who has come unimaginably -- and terribly -- far."
2723,the-emoji-movie-movie,Jordan Hoffman,0,The only thing worse than the dialogue is the absurd product placement. 
2724,moonrise-kingdom-movie,Anthony Lane,80,"Anderson's great gift is to catch the generations as they intersect. [4 & 11 June 2012, p 132]"
2725,play-it-to-the-bone-movie,Marjorie Baumgarten,20,"Does not live up to its name. It's more like White Men Can't Box, Either."
2726,dogville-movie,Joe Morgenstern,10,"A symphony for tin ears, a sniggering assessment of human nature delivered with the faux-lofty tone of a Lexus commercial. "
2727,trouble-the-water-movie,J.R. Jones,100,"It's a damning indictment of a national disgrace, but it also reveals the incredible faith and resilience of people who have nothing to rely on but themselves."
2728,enough-said-movie,Liam Lacey,75,Enough Said confirms filmmaker Nicole Holofcener’s status as one of America’s best stealth satirists.
2729,how-to-lose-friends-alienate-people-movie,Ty Burr,38,Nothing in How to Lose Friends feels fresh or on target.
2730,of-men-and-mavericks-movie,Elizabeth Weitzman,20,"As it turns out, the only truly interesting element about this clichéd surfer flick is that it was made by celebrated directors Michael Apted and Curtis Hanson."
2731,the-women-movie,Ella Taylor,20,Isn't so much incompetent as it is hopelessly tame and muddled.
2732,atonement-movie,Lawrence Toppman,100,"The result is a film that has ""Masterpiece Theatre"" production values but not an ounce of dust upon it."
2733,cutie-and-the-boxer-movie,Walter Addiego,75,"This elegant movie never reduces or diminishes its subjects, and leaves us to ponder a remarkable truth - that Ushio and Noriko have an abiding love that four decades of frustration, resentment and rivalry have battered but not extinguished. "
2734,the-adventures-of-rocky-bullwinkle-movie,Robert Wilonsky,10,A whole lot of something about nothing.
2735,88minutes-movie,Kyle Smith,12,"88 Minutes holds you in a state of acute suspense, keeping you wondering until the very last minute whether this is the worst Al Pacino movie ever made."
2736,american-pie-2-movie,Stephanie Zacharek,20,"Of all the characters in American Pie 2, male or female, Michelle is the only one who feels completely rounded and whole. She moves with unerring grace and subtlety through this feeble minefield of a movie, unharmed by the tepid jokes that flop and fizzle around her."
2737,paddington-movie,Brad Wheeler,88,"This is not only a dandy, playful movie about a talking bear, but one that gives pause for thought, too."
2738,doctor-strange-movie,Brian Truitt,75,"Derrickson (Sinister) crafts a trippy phantasmagoria for Strange to fly screaming through as he begins his path to sorcerer supreme. The only thing missing is a Doors jam as the sequence unfolds a dizzying blend of psychedelia, geometric oddities and nightmarish dreamscapes."
2739,one-true-thing-movie,Stephen Holden,70,"Bluntly, poignantly believable. "
2740,intolerable-cruelty-movie,Megan Lehmann,88,"Hilariously overblown, ""Cruelty"" fairly pops at the seams with the beloved eccentricity of Joel and Ethan Coen, from the fiendishly ludicrous scenarios and casually tossed off visual gags to the razor-sharp repartee. "
2741,risk-movie,Richard Roeper,88,Risk is filled with dramatic scenes straight out of a spy thriller.
2742,young-beautiful-movie,Ian Freer,80,Another typically assured piece of work from Ozon with a showstopping turn from newcomer Vacth.
2743,rabbit-hole-movie,Roger Ebert,88,"Entertaining and surprisingly amusing, under the circumstances. The film is in a better state of mind than its characters. Its humor comes, as the best humor does, from an acute observation of human nature."
2744,trixie-movie,Mick LaSalle,0,"The whole movie is like that: cute, dead and endless."
2745,freedom-writers-movie,Peter Rainer,75,"If you've seen ""To Sir, With Love,"" ""Dead Poet's Society,"" ""The Corn is Green,"" or ""Stand and Deliver"" - to take a random sample - you've already seen much of this movie. Swank is good, though, and so is Patrick Dempsey as her suffering husband."
2746,pride-2014-movie,Stephen Holden,90,"It is the kind of hearty, blunt-force drama with softened edges that leaves audiences applauding and teary-eyed."
2747,xxx-movie,Michael Sragow,38,"The movie's own style is strictly an anti-style, all pre-packaged post-punk."
2748,must-love-dogs-movie,Claudia Puig,75,"A breath of fresh air amid the superheroes, aliens and bombastic explosions of summer."
2749,rust-bone-movie,Stephanie Zacharek,90,"Jacques Audiard's Rust and Bone is an unapologetic melodrama rendered in what you might call semi-stylized neo-expressionistic realism, and it works like gangbusters."
2750,the-lazarus-effect-movie,Lou Lumenick,0,"There’s no doubt at all that the schlocky The Lazarus Effect should have been euthanized and shipped directly to video rather than haunting movie theaters, however briefly."
2751,tooth-fairy-movie,Scott Tobias,10,"The only apparent reason Tooth Fairy exists at all is to squeeze tough-guy ex-wrestler Dwayne ""The Rock"" Johnson into tights and a tutu. As comic ideas go, that doesn't stretch much further than the poster."
2752,big-mommas-house-movie,J. Rentilly,15,"A frenetic, aggressively unfunny one-joke merging of ""Beverly Hills Cop"" and ""Tootsie."""
2753,the-campaign-2012-movie,Joe Morgenstern,20,"Instead of biting wit, though, the movie settles for sketch humor, standard-brand raunch and toothless slapstick that trivializes everything it touches."
2754,the-forest-movie,Bill Zwecker,75,"With a nice, unexpected twist at the end, The Forest delivers as a healthy dose of psychological cinematic terror and an impressive first feature directing effort."
2755,dracula-2000-movie,Stephen Holden,0,It's a little sad to see actors of the quality of Christopher Plummer and Jonny Lee Miller struggling straight- faced to dignify this sewage.
2756,let-the-right-one-in-movie,John Anderson,100,"In the basest of terms, a horror flick. But it's also a spectacularly moving and elegant movie, and to dismiss it into genre-hood, to mentally stuff it into the horror pigeonhole, is to overlook a remarkable film."
2757,kangaroo-jack-movie,Liam Lacey,25,"In the life-is-too-short category, file Kangaroo Jack as a sub-Farrelly Brothers, dumb-plus-dumber buddy picture."
2758,three-times-movie,Michael Wilmington,100,"Three Times is great cinema, pop romance that carries a special charge."
2759,monster-movie,James Berardinelli,88,"A compelling, thought-provoking, and unsettling drama."
2760,the-perfect-holiday-movie,Kyle Smith,25,Most of the comedy comes from dull situations like a fat guy trying to put on a fat suit for no reason.
2761,full-metal-jacket-movie,Sheila Benson,90,"In a superb cast of mostly unknowns -- with the exception of Matthew Modine and Dorain Harewood -- D'Onofrio, who put on 60 pounds for this pivotal role, and Ermey are exceptional. [26 June 1987]"
2762,kitchen-stories-movie,Jonathan Rosenbaum,70,"The humor is a bit dry for my taste, but director Bent Hamer and his actors know what they're doing every step of the way."
2763,monsters-university-movie,James Berardinelli,75,"A charming, family friendly endeavor and, although it falls short of the best Pixar has brought to the screen over its long association with Disney, it's nevertheless worth a trip to the theater, especially for kids. "
2764,norm-of-the-north-movie,Bilge Ebiri,10,Everything appears to have been thrown together with little attention paid to how it might all work together.
2765,the-rachel-divide-movie,Roger Moore,75,"If you’ve made up your mind about her, it’s hard to see this intriguing documentary changing that made up mind. The movie turned my head, here and there. But the questions about her honesty linger, along with the notoriety."
2766,the-x-files-i-want-to-believe-movie,Marc Savlov,11,"They've become deadly dull, these two once-keen buckers of bureaucratic BS, and watching them interact on screen is akin to having your pleasure centers removed by knobby little aliens whose only knowledge of mankind comes from Jack Webb's stoically unvarying television incarnations."
2767,the-million-dollar-hotel-movie,Charles Taylor,10,"There's a vacancy in The Million Dollar Hotel, and it's between Wim Wenders' ears."
2768,rapturepalooza-movie,Nathan Rabin,30,The film overflows with inspired comic ideas that fizzle and die in execution like a marathon fireworks display of nothing but duds.
2769,battlefield-earth-a-saga-of-the-year-3000-movie,Desson Thomson,10,"Let's cut to the chase: We're talking ""Ishtar of the Apes."""
2770,x-movie,Paul Malcolm,90,It's all such a spectacular show.
2771,a-perfect-world-movie,Chris Cabin,75,"Hancock lays the groundwork for Eastwood to transform what might have been an admirable, tightly told entertainment into something far more emotionally resonant, slyly self-aware, and rich in subtext."
2772,a-lot-like-love-movie,Michael O'Sullivan,30,It starts with a bang and ends with a whimper.
2773,filth-and-wisdom-movie,Anthony Lane,10,"Madonna's mess of a movie grabs at the rub and rancor of multiculturalism, which it proceeds to squash into a litter of clichés, or, more simply, insults."
2774,stoned-movie,Joel Selvin,25,Almost so bad it's good. Almost.
2775,still-mine-movie,Rex Reed,88,"Not since ""The Straight Story,"" when Richard Farnsworth traveled all the way from Iowa to Wisconsin by lawn mower to see his dying brother, have the wisdom, innocence and pride of a senior citizen combined so powerfully as a metaphor for the courage to face mortality. Unforgettable."
2776,teenage-mutant-ninja-turtles-movie,Simon Abrams,38,"If nothing else, Teenage Mutant Ninja Turtles reminds us that nostalgia is often used as a mandate for spectacularly lazy filmmaking. "
2777,blade-runner-movie,Susan Wloszczyna,88,"What remains is a great Vangelis score, astonishing production design, Hauer's career role -- and a movie that deserves its cult reputation despite an unloving heart. [11 Sept 1992]"
2778,the-bitter-pill-movie,David Edelstein,80,"Soderbergh’s alleged last theatrical film is paranoid and hopeless, but he leaves the field with a bounce in his step."
2779,the-twilight-saga-breaking-dawn---part-1-movie,R. Kurt Osenlund,25,"Intended as the cinematic equivalent of an orgasm, this tirelessly hyped insta-blockbuster is loaded with OMG developments (marriage! Sex! Baby!) and seemingly regarded by everyone to include the most epic and gratifying scenes of romantic release in modern movie history."
2780,the-chateau-movie,Kevin Thomas,70,"Delightfully bittersweet culture-clash comedy. If what's funny is frequently hilarious, then what's nasty truly stings, and the film is honest enough not to tie up everything with a ribbon."
2781,the-cannonball-run-movie,Staff (Not Credited),30,"With a plot stolen from THE GUMBALL RALLY (1976) and CANNONBALL (1976), this wholly derivative car-chase movie provides a flimsy excuse for good ol' boy Burt Reynolds to cavort on-screen with a cast that's chock-full of familiar faces."
2782,silent-hill-movie,Owen Gleiberman,33,"A few of the images are startling, but as Radha Mitchell (a good actress) wanders through a ghost town, searching for her lost daughter as though she was touring an abandoned movie set, Silent Hill is mostly paralyzing in its vagueness."
2783,ithaca-movie,Keith Watson,12,"The film is confused in conception, dreary in execution, and completely lacking in forward momentum."
2784,on-body-and-soul-movie,Roger Moore,75,On Body and Soul isn’t as linear in its storytelling style or as results-oriented in its plot as a Hollywood or Western European film wrestling with these themes might be. That’s why the foreign language Oscar category is so valuable. It insists that viewers at least take a shot at seeing the world through another culture’s eyes via challenging films.
2785,wish-upon-movie,Eric Kohn,16,"Fortunately, you don’t need to wish for better versions of the movie experience Wish Upon calls to mind; they exist, and deserve repeat viewings far more than Wish Upon deserves one."
2786,london-has-fallen-movie,Peter Sobczynski,12,A horrible and wildly unnecessary follow-up that might actually be worse than its predecessor.
2787,your-highness-movie,Pete Hammond,10,So thuddingly awful you won't crack a smile.
2788,wadjda-movie,Farran Smith Nehme,88,What makes the movie so delightful is that Wadjda isn’t trying to make trouble; she’s just being herself. A shot of the system of wire hangers attached to her radio so she can pick up Western music stations sums up her can-do attitude.
2789,little-shop-of-horrors-movie,Michael Wilmington,90,"A lot of this horrific Little Shop is not only sweet, melodic, funny and oddly idealistic, it's even, well, tasty. [19 Dec 1986, p.1]"
2790,black-snake-moan-movie,Scott Foundas,30,"Black Snake Moan is, at its core, a fairly straightforward variation on George Bernard Shaw -- ""Pigsfeetmalion,"" if you will. One day, when he outgrows his terminal adolescence, Brewer might be the perfect filmmaker to tackle Faulkner or Tennessee Williams."
2791,ready-to-rumble-movie,Tom Keogh,10,I would rather have been scraping gum off my shoe than sitting there another minute.
2792,sur-mes-levres-movie,Mick LaSalle,100,"Not a heist film, a thriller, a twisted romance, a film noir or a character study, but a unique concoction that bends all these genres to its vision."
2793,jumpin-jack-flash-movie,Bill Cosford,63,"Penny Marshall proves deft at blending the silly stuff with enough action to generate a bit of suspense; the mix is that of Beverly Hills Cop. And the script, though the work of a whole crowd -- almost always a bad sign -- has marvelous moments. [10 Oct 1986, p.D1]"
2794,right-now-wrong-then-movie,James Lattimer,88,Spotting and processing the countless differences between the parts offers pleasures on various levels. 
2795,mystic-river-movie,William Arnold,100,"Moves along its course and overflows at its climax with that indefinable but unmistakable assurance of a master filmmaker who knows just what he wants to say, is in total command of his medium and is in no mood to make any compromises."
2796,the-hangover-part-iii-movie,Joe Williams,38,The good news is that Ed Helms doesn’t wake up in a Tijuana brothel with an amputated leg and a donkey in the room. The bad news is that you’ll wish he had.
2797,true-crime-movie,David Sterritt,75,"It would be even better if Eastwood followed his character's lead and emphasized ""real issues"" over ""human interest"" in a story that touches on important social problems without doing much to illuminate them. "
2798,the-legend-of-hercules-movie,Kenji Fujishima,38,"Given its virtuous subject matter and the relative bloodlessness of its violence, perhaps Renny Harlin means for this film to be a means of atoning for his previous cinematic sins."
2799,josie-and-the-pussycats-movie,Robert Wilonsky,10,An antiadvertisement for itself.
2800,thomas-and-the-magic-railroad-movie,Rita Kempley,10,"A big, fat clunker."
2801,upside-down-movie,Tasha Robinson,16,"Moment for moment, Upside Down is the most embarrassing, hilarious, obliviously stupid movie since M. Night Shyamalan’s ""The Happening,"" and its constant pursuit of a striking image over any other consideration undermines it at every turn."
2802,short-cuts-movie,Edward Guthmann,75,"It's compelling, emotionally exhausting terrain, and Altman delivers it in cold, blunt strokes. [22 Oct 1993]"
2803,ballistic-ecks-vs-sever-movie,Mick LaSalle,0,Movies don't get much worse.
2804,the-rider-movie,K. Austin Collins,90,"Despite its pure beauty, in other words, there’s no mistaking The Rider for a simple, crowd-pleasing pick-me-up. The movie is soulful, elegant, filmed as often as not at the magic hour, when the sky is as broad as it is orange-yellow, and every nook of the world seems alight with possibility. It is hardly, on its surface, an outright downer. But it’s unmistakably a movie about loss."
2805,friday-after-next-movie,Nathan Rabin,10,"Marginally better than its predecessor, but only because ""Next Friday"" lowered standards so far that only a homemade cockfighting video would have failed to surpass it."
2806,the-ritual-movie,Roger Moore,25,"A British eOne/Netflix production, packs a bunch of boy-bonding lads off into the wilds of Sweden. No “found footage,” but it’s “The Borgholm Witch Project” in the Swedish “Cabin in the Woods,” “Wicker Man,” the works."
2807,spartan-movie,Ty Burr,75,"When Spartan is good, it's surprisingly gripping and fresh, and when it's bad, it's just another overcooked Hollywood paranoid thriller. "
2808,bucky-larson-born-to-be-a-star-movie,Robert Abele,20,"The scenario makes for an inept, lazy R-rated movie whose sole purpose is as a glossary of euphemisms for genitalia and sexual acts."
2809,the-daughter-movie,Cath Clarke,80,Few films make you care about the characters like this one does.
2810,apocalypse-now-redux-movie,Jonathan Foreman,100,"You won't see any film this year as beautiful, and plain thrilling as Apocalypse Now Redux. Watching it after sitting through this summer's record number of dumb, dreadful movies is almost a painfully good experience. [3 Aug 2001, p.30]"
2811,class-rank-movie,Kimber Myers,70,"Class Rank is a late bloomer that takes time to find its footing, but once it does, it proves to be as stealthily likable as its characters."
2812,brand-upon-the-brain!-movie,Lou Lumenick,88,"Not many people are making silent horror serials these days, but Canadian filmmaker Guy Maddin pushes his love of lurid melodrama to the limit in his latest demented treat, Brand Upon the Brain!"
2813,psycho-movie,Mike Clark,63,"Untantalizingly reverent remake.  [7 December 1998, p.4D] "
2814,identity-thief-movie,Andrew O'Hehir,0,Identity Thief reaches impressive heights of laziness and idiocy. 
2815,apartment-troubles-movie,Gary Goldstein,20,"With the excruciating gal-pal comedy Apartment Troubles, writer-director-stars Jess Weixler and Jennifer Prediger have created such blurry, unappealing characters that their film is hamstrung from the get-go. "
2816,murder-of-a-cat-movie,Rex Reed,0,"Described as a satire on Hollywood detective flicks, this bucket of swill is so amateurish and confused it doesn’t know what it is. It’s not a comedy, drama or anything in-between."
2817,wimbledon-movie,Charles Taylor,80,"Slick, satisfying entertainment, as is the chemistry of Dunst and Bettany. "
2818,side-by-side-movie,Eric Kohn,83,"Produced by Keanu Reeves, this talking heads survey of the transition from shooting on film to digital video is against all odds an imminently watchable overview, and not only because Reeves has decent interview skills. "
2819,big-game-movie,Jake Cole,38,The rambling conversations and endless wandering through nature could let the film pass for a filler episode of Lost.
2820,assault-on-precinct-13-movie,Shawn Levy,33,"Hampered from the start by the numbingly formulaic additions by screenwriter James DeMonaco (""The Negotiator""). Toss in needlessly fussy visuals and a climax that is hilariously out of whack, and you've got an excellent excuse to stay home and watch the original."
2821,the-big-hit-movie,Nathan Rabin,20,"The Big Hit goes beyond the call of duty in terms of hateful, crass exploitation."
2822,the-memory-of-a-killer-movie,Michael Rechtshaffen,70,"Although comparisons to the memory-challenged machinations of ""Memento"" are inevitable, the plotting here takes a more traditionally linear path."
2823,hounddog-movie,Mark Olsen,10,"The problems that plague the movie land squarely with the writer, director and producer, Deborah Kampmeier, who has crafted a howler of a bad script, shows little affinity for working with actors and displays no visual sense behind the camera."
2824,scary-movie-2-movie,Kim Morgan,16,"Stinky, boring, aggressively unfunny picture."
2825,it-happened-one-night-movie,Staff (Not Credited),90,"One of those stories that without a particularly strong plot manages to come through in a big way, due to the acting, dialog, situations and direction. In other words, the story has that intangible quality of charm which arises from a smooth blending of the various ingredients. Difficult to analyze, impossible to designedly reproduce. Just a happy accident."
2826,demonlover-movie,Steven Rea,88,"Has a dreamy ominousness about it, and a sorrowfulness that speaks to the artificial intimacies of cellular communication, digital images and dial-up porn."
2827,straw-dogs-movie,Roger Ebert,88,"Rod Lurie has made a first-rate film of psychological warfare, and yes, I thought it was better than Peckinpah's. Marsden, Bosworth and Skarsgard are all persuasive, and although James Woods has played a lot of evil men during his career, this one may be the scariest."
2828,the-notebook-movie,Stephen Holden,70,"The scenes between the young lovers confronting adult authority have the same seething tension and lurking hysteria that the young Warren Beatty and Natalie Wood brought more than 40 years ago to their roles in ""Splendor in the Grass."""
2829,a-slipping-down-life-movie,Roger Ebert,75,"The movie is not a great dramatic statement, but you know that from the modesty of the title. It is about movement in emotional waters that had long been still. Taylor makes it work because she quietly suggests that when Evie's life has stalled, something drastic was needed to shock her back into action, and the carving worked as well as anything."
2830,boat-trip-movie,Chris Hewitt,16,"It's a lame, gender-mixed, mistaken-identity, cross-dressing comedy: ""Some Like It Tepid,"" if you will."
2831,mile-22-movie,Ben Kenigsberg,20,"A testosterone cocktail of reactionary sound bites and incoherent action that even Michael Bay might have rejected as too amped, Peter Berg’s Mile 22 makes for an appalling referendum on the state of commercial cinema in 2018"
2832,red-road-movie,Shawn Levy,91,"It's a wonderful debut, despite all the pain you may feel watching it."
2833,3000-miles-to-graceland-movie,Shawn Levy,0,"A vile, stupid and ugly movie lacking utterly in pep, thrills, humor, finesse or morals, a dissipating waste of time, money and human resources."
2834,big-night-movie,Steve Davis,89,"Big Night is, in a word, delicious."
2835,the-big-sick-movie,Alissa Wilkinson,90,The Big Sick feels authentic because it isn’t afraid of complexity.
2836,gods-pocket-movie,Ignatiy Vishnevetsky,83,"The performance, one of Hoffman’s last, is unostentatious, but sensitive. Hoffman inhabited lifelong losers better than any other actor."
2837,the-killing-of-a-sacred-deer-movie,A.A. Dowd ,75,"The Killing Of A Sacred Deer doesn’t have as sharp an allegorical edge as his best work — it’s no Dogtooth in that respect — but it does find the director honing his command of unnerving atmosphere to a razor point, enhanced by a camera that glides menacingly down hospital corridors and gazes from above with the severity of a merciless god."
2838,jurassic-world-movie,Steve Persall,83,"Trevorrow hits all the right, respectful beats, as a protege should; you can sense a desire to please his mentor, with several amusing references to Spielberg's 1993 original, and a climactic, triumphant nod to another of his works."
2839,ready-player-one-movie,Eric Henderson,63,"It's a boldly attempted strike against the monolithic corporatization of fan service, and arguably one of the few films that defines dystopia as nothing less than a marketplace of trademarked, cross-promotional intellectual property. In other words, our here and now."
2840,valentines-day-movie,Lisa Schwarzbaum,0,"How you feel about Valentine's Day may depend on how you feel when someone really, really cute -- and someone you're really, really fond of -- gives you a nasty box of cheap chocolate on Valentine's Day, picked up at the corner Rite Aid and delivered with the price tag still attached."
2841,the-proposal-movie,Peter Rainer,16,Monumentally unromantic.
2842,slums-of-beverly-hills-movie,Roger Ebert,75,"The film, written and directed by Tamara Jenkins, is pitched pretty firmly at that level of ambition: Broadly drawn characters, quick one-liners, squabbling family members, lots of sex."
2843,street-kings-movie,Claudia Puig,38,"Wastes a moderately intriguing premise by filling it with laughably clichéd dialogue, one-dimensional characters and implausible turns of events."
2844,backdraft-movie,Michael Sragow,30,"Gregory Widen's script is like a Mad parody played straight, full of ""Scenes We Wouldn't Like to See."""
2845,jason-goes-to-hell-the-final-friday-movie,Ty Burr,0,"While the Nightmare on Elm Street movies possess a sick yet clever surrealism, and the first Halloween was at least well crafted, the Friday the 13th series has always been the cut-rate horror franchise, offering barely functional sex-and-slash pitched straight at the moron brigade. Jason Goes to Hell varies the formula a bit, with ideas swiped from The Terminator, The Hidden, and Alien, but after nine installments the impalements and dismemberments all look the same. So go to hell already, Jason — and take Sean Cunningham, the ”brains” behind this dreck, with you."
2846,columbus-movie,Sheila O'Malley,88,"Watching the film is almost like feeling the muscles in your eyes shift, as you look up from reading a book to stare out at the ocean."
2847,merry-christmas-movie,Melissa Levine,80,"But except for a few missteps, the movie is so beautifully and sensitively rendered in its particulars, in its characterizations of soldiers and officers, and in its dramatization of a nearly miraculous event, that the result is an affecting piece of cinema."
2848,the-tourist-movie,Stephanie Zacharek,90,"If Elise and Frank are opaque to each other, they're opaque for a reason, as, sadly, lovers sometimes are. (Come to think of it, this picture has more in common with ""The Lives of Others"" than you might expect.)"
2849,harry-potter-and-the-deathly-hallows-part-i-movie,Andrea Gronvall,70,"The best portion is an animated story-within-the-story, supervised by Ben Hibon, that recalls Lotte Reiniger's filigreed shadow puppets as it sets the stage for armageddon."
2850,little-men-movie,Peter Rainer,83,"Director Ira Sachs, who co-wrote with Mauricio Zacharias, has a plangent feeling for the small-scale travails of “ordinary” people – who, of course, are only ordinary on the surface."
2851,adult-world-movie,Lou Lumenick,63,"Adult World proceeds by fits and starts, but fans of Cusack won’t want to miss his performance as the petulant poet, whose resistance is inevitably worn down by his persistent fan."
2852,get-over-it-movie,Kevin Thomas,70,"A blithe-spirited comedy in which teenagers discover their romantic vicissitudes mirrored in their high school production of ""A Midsummer Night's Dream."" It's being directed by their nasty drama teacher (Martin Short, hilarious), who has written 12 original songs for the production."
2853,movie-43-movie,Lou Lumenick,0,"If you mashed-up the worst parts of the infamous ""Howard the Duck,'' ""Gigli,'' ""Ishtar'' and every other awful movie I've seen since I started reviewing professionally in 1981, it wouldn't begin to approach the sheer soul-sucking badness of the cringe-inducing Movie 43."
2854,room-237-movie,Jim Emerson,63,"Trouble is, the Room 237 conspirators — er, contributors — don't seem to realize that those meanings are either not hidden, not meanings or not remotely supported by the secret evidence they think they've uncovered. "
2855,pitch-perfect-3-movie,Dan Callahan,25,"Wilson’s comic routines here set her apart from the others in the cast, and they more than amply hint that she should be set loose in her own vehicles far, far away from the other girls and all their “Glee”-like karaoke."
2856,underworld-blood-wars-movie,Peter Sobczynski,25,"The only notable aspect of the film is that it marks the feature directorial debut of Anna Foerster, a rare example of a woman being allowed to direct a reasonably large-scale franchise film. Alas, all it proves here is that a female director can make a film of this sort that is just as listless, derivative and perfunctory as one made by a man."
2857,colossal-movie,Rex Reed,0,"To quote the late, great Dorothy Parker, “What fresh hell is this?” I’m talking about Colossal, a delirious, moronic mess that landed with a thud at last year’s Toronto International Film Festival and now opens commercially, seven months later, with a head-scratching “Duh”."
2858,tuck-everlasting-movie,Ella Taylor,90,"Tuck Everlasting is a wise and beautiful poem to the idea that the fundamental human tragedy is not death, but the unlived life."
2859,love-friendship-movie,Staff (Not credited),83,"Stillman gives the romantic roundelay a deliciously modern feminist twist that ends up being a bit too slight and patly resolved, but over all too soon."
2860,saturn-3-movie,David Ansen,0,"The best and perhaps only way to enjoy Saturn 3 is to pretend that you're watching a ""Saturday Night Live"" parody of Saturn 3. Imagine that Harvey Keitel is one of the Coneheads, that Kirk Douglas is the guest host, lampooning his own overemphatic acting style, and that Farrah Fawcett is, well, Farrah Fawcett. Viewed in this light, the unintentionally risible dialogue by Martin Amis becomes sparkling comic repartee. Keitel to Fawcett, with nary a flicker of expression in his voice: ""You have a beautiful body. May I use it?"" [10 March 1980, p.88H]"
2861,left-behind-2014-movie,James Berardinelli,12,"Not only is this an amateurish travesty combining fundamentalist Christian eschatology with disaster movie b.s., but it's plodding and tedious. "
2862,racing-dreams-movie,Stephen Holden,90,One of the rare documentaries you leave wishing it was a little bit longer.
2863,very-bad-things-movie,Manohla Dargis,10,"Pitched as a black comedy, the film thus far seems to have divided audiences between those who think it unaccountably hilarious and those who see it as the latest manifestation of what might be called the new nihilism."
2864,superfly-movie,David Ehrlich,67,It works because the characters keep things anchored to some kind of dramatic reality.
2865,yadon-ilaheyya-movie,Owen Gleiberman,67,"Too fragmented to be much more than a flip of the finger to history; the movie, with its mostly mute characters, is too content to plod. "
2866,murderous-maids-movie,Stephanie Zacharek,70,"There's a curiously ho-hum quality to the murders, despite the fact that the two victims are bludgeoned, sliced, chopped and jabbed, and also (the movie suggests) get their eyeballs gouged out."
2867,journeys-end-movie,Peter Bradshaw,80,"The first world war is one of the 20th century’s oldest, grimmest tales of futility and slaughter. Dibb and his excellent cast put new passion into it."
2868,the-wedding-movie,Rob Humanick,12,"For a movie ultimately about what freaks we all are behind the fronts we build for the sake of normalcy, the apathetically performed The Big Wedding couldn't possibly be more square."
2869,my-favorite-martian-movie,Owen Gleiberman,33,Flubber was more edifying than My Favorite Martian — and more fun. 
2870,waiting-for-superman-movie,John Anderson,100,"Exhilarating, heartbreaking and righteous, Waiting for Superman is also a kind of high-minded thriller: Can the American education system be cured? "
